Video ID,Video Title,Video Date,Video Views,Video Likes,Video Comment Count,Video URL,Spam Filtered
-rZ7h41aRNU,STANOWSKI: DLACZEGO RAFAŁ TRZASKOWSKI PRZEGRAŁ WYBORY,2025-06-03T08:31:54Z,1604007,81651,8003,https://www.youtube.com/watch?v=-rZ7h41aRNU,0
abr-iw4X6xw,"SAFE 0% - PREZYDENT TRIUMFUJE, RZĄD DOSTAJE LANIE",2026-03-05T15:30:32Z,392873,18596,3154,https://www.youtube.com/watch?v=abr-iw4X6xw,0
jHslawmn4h4,"Nawrocki, prezydent KONFEDE-PIS? USA uderza antysemityzmem. Akcyza i czas na ruch trzeźwości.",2025-08-29T17:00:06Z,46847,1460,388,https://www.youtube.com/watch?v=jHslawmn4h4,0
-xevV1Uoivo,[KOMENTARZ] Atak budżetowej demagogii! Dymek o budżecie i wetach Nawrockiego.,2025-09-02T17:00:06Z,19468,1197,264,https://www.youtube.com/watch?v=-xevV1Uoivo,0
C9QUhxEGvN8,Karol Nawrocki - Wystąpienie Kandydata na Prezydenta RP. CPAC Polska 2025,2025-05-27T15:49:22Z,8056,291,234,https://www.youtube.com/watch?v=C9QUhxEGvN8,0
H_LCE0EnSao,Jak Karol Nawrocki zrobił wyborców w bambuko,2026-02-22T17:12:32Z,58418,5285,2148,https://www.youtube.com/watch?v=H_LCE0EnSao,0
8z_wJ1-Q4Tg,"Załatwiony Stanowski, zagładzana Republika – czyli Polska ratlerkiem UE",2026-02-09T07:00:11Z,190989,19019,2249,https://www.youtube.com/watch?v=8z_wJ1-Q4Tg,0
j0-f4aC5BIk,"Maciej Maciak PRZERYWA MILCZENIE [ Stanowski, Putin, Wybory ]",2025-06-12T19:00:44Z,63409,3594,1592,https://www.youtube.com/watch?v=j0-f4aC5BIk,0
Q88axl_z9nI,Bogucki POGRĄŻA Nawrockiego ‼️Weto KRS i “plan B” Tuska — Pałac w defensywie ‼️,2026-02-20T14:25:06Z,24100,3399,149,https://www.youtube.com/watch?v=Q88axl_z9nI,0
xoxpkqUqdl8,Chwali Nawrockiego❗️Hołownia: Nie przeproszę | Afera SKOK jak Zondacrypto | PiS wypiera się Orbana,2026-04-20T05:15:06Z,27946,4397,661,https://www.youtube.com/watch?v=xoxpkqUqdl8,0
H9sH7pcrdNo,Dudek: Wybór Karola Nawrockiego jest niebezpiecznym dla Polski. To osobowość autorytarna,2025-05-30T09:07:08Z,91676,2602,849,https://www.youtube.com/watch?v=H9sH7pcrdNo,0
IW3Zeg8oIdM,"MAZUREK: UNIEWAŻNIENIE WYBORÓW, ATAK GIERTYCHA I ANALIZA FAKTÓW",2025-06-06T18:27:09Z,1054276,42407,3682,https://www.youtube.com/watch?v=IW3Zeg8oIdM,0
