Video ID,Video Title,Video Date,Video Views,Video Likes,Video Comment Count,Video URL,Spam Filtered
d9U66yU8dYE,🔴LIVE | M.C.N. Podcast cu Candidații la Prezidențiale: Nicușor Dan și George Simion,2025-05-14T15:38:29Z,1809315,59225,7251,https://www.youtube.com/watch?v=d9U66yU8dYE,0
K2hpIH8uO2I,INTERVIU. Finală Simion-Nicușor: „Necunoscuta mare e PSD”,2025-05-05T13:37:03Z,259964,8436,1421,https://www.youtube.com/watch?v=K2hpIH8uO2I,0
i3kfDCPNonM,PORTRET DE CANDIDAT: George Simion,2025-04-28T11:59:04Z,999983,24756,6087,https://www.youtube.com/watch?v=i3kfDCPNonM,0
XKsToC5ELoc,PORTRET DE CANDIDAT: Nicușor Dan,2025-04-24T08:45:56Z,1581245,41489,6586,https://www.youtube.com/watch?v=XKsToC5ELoc,0
F3_3NlzeEpM,"50 de români, o dilemă: încotro ne îndreptăm?",2025-05-11T08:59:04Z,911275,32344,7118,https://www.youtube.com/watch?v=F3_3NlzeEpM,0
CYei4nULHPs,"DEZBATERE NICUȘOR VS SIMION, SCANDALUL LUI SELLY, PSD-UL SE CEARTĂ",2025-05-11T08:00:22Z,264583,7121,656,https://www.youtube.com/watch?v=CYei4nULHPs,0
_AkLQ7SIiiQ,GEORGE SIMION,2025-05-14T12:10:56Z,339153,13966,933,https://www.youtube.com/watch?v=_AkLQ7SIiiQ,0
Gqw7frXsJMY,CE FACEM ACUM?,2025-05-08T14:36:42Z,286479,11043,926,https://www.youtube.com/watch?v=Gqw7frXsJMY,0
A9CnfvG0rGQ,Nicusor Dan vs George Simion (DEZBATERE EURONEWS) | Codin reactioneaza,2025-05-12T08:48:00Z,128288,5744,562,https://www.youtube.com/watch?v=A9CnfvG0rGQ,0
peu06tceswg,MOMENTE: Rezultatele alegerilor (TURUL 1) | Codin reactioneaza,2025-05-08T10:01:40Z,58588,2413,139,https://www.youtube.com/watch?v=peu06tceswg,0
s27Tvr3-Rf0,GEORGE SIMION fuge de dezbateri + apartamentul închiriat | Codin reactioneaza,2025-05-15T09:20:23Z,76009,3003,203,https://www.youtube.com/watch?v=s27Tvr3-Rf0,0
Cdhh1zq_cL4,MOMENTE: NOAPTEA ALEGERILOR (TURUL 2) | Codin reactioneaza,2025-05-22T11:44:54Z,55860,2505,137,https://www.youtube.com/watch?v=Cdhh1zq_cL4,0
6X9u2MlUIlg,NICUȘOR DAN ESTE NOUL PREȘEDINTE AL ROMÂNIEI,2025-05-20T16:50:52Z,52033,1413,113,https://www.youtube.com/watch?v=6X9u2MlUIlg,0
ylbE99s2irs,CE SE ÎNTÂMPLĂ DUPĂ VICTORIA LUI NICUȘOR DAN,2025-05-06T10:20:09Z,61772,1603,177,https://www.youtube.com/watch?v=ylbE99s2irs,0
