video_id,author_name,comment_text,clean_text,comment_date,comment_likes,replies,sentiment,topic,topic_probability,umap_x,umap_y
-rZ7h41aRNU,@andrzejs.6815,Niewiarygodne że człowiek który całe życie siedział przy piłce nożnej tłumaczy ludziom polityczną rzeczywistość lepiej niż setki politologów ...,Niewiarygodne że człowiek który całe życie siedział przy piłce nożnej tłumaczy ludziom polityczną rzeczywistość lepiej niż setki politologów ...,2025-06-03 08:56:53+00:00,15397.0,235.0,Negative,0.0,0.5472899892753021,12.663869,11.98202
-rZ7h41aRNU,@bagins89,"Według mnie najgorsza jest pogarda lewej strony która po porażce nazywa połowę Polski betonem, idiotami, wieśniakami, nieukami itp. Wyzywając niemal 11 milionów ludzi głosujących na PKN nie da się wygrać wyborów. Mówicie o mowie nienawiści a sami ją siejecie.","Według mnie najgorsza jest pogarda lewej strony która po porażce nazywa połowę Polski betonem, idiotami, wieśniakami, nieukami itp. Wyzywając niemal 11 milionów ludzi głosujących na PKN nie da się wygrać wyborów. Mówicie o mowie nienawiści a sami ją siejecie.",2025-06-03 09:37:43+00:00,6136.0,201.0,Negative,0.0,0.6191081494653852,13.9809265,12.763072
-rZ7h41aRNU,@djznykudjznyku9140,"Hipokryzja , zmienność poglądów , pogarda i pycha to są przyczyny porażki","Hipokryzja , zmienność poglądów , pogarda i pycha to są przyczyny porażki",2025-06-03 08:39:25+00:00,6040.0,58.0,Negative,0.0,1.0,12.715452,9.526949
-rZ7h41aRNU,@joku4303,"Mam w otoczeniu profesorów, doktorów, lekarzy, którzy głosowali na Nawrockiego, ale część z nich mówi,że wogóle się w pracy z tym nie ujawnia, bo wyborcy PO itp są zazwyczaj tak ""agresywni"", narzucajacy w swoich wypowiadziach, że oni nie mają ochoty wchodzic w nimi w bezsensowne dyskusje. I to są te tzw. ""elity"", które rzekomo w całosci głosują za Tuskiem.","Mam w otoczeniu profesorów, doktorów, lekarzy, którzy głosowali na Nawrockiego, ale część z nich mówi,że wogóle się w pracy z tym nie ujawnia, bo wyborcy PO itp są zazwyczaj tak ""agresywni"", narzucajacy w swoich wypowiadziach, że oni nie mają ochoty wchodzic w nimi w bezsensowne dyskusje. I to są te tzw. ""elity"", które rzekomo w całosci głosują za Tuskiem.",2025-06-03 09:15:36+00:00,3676.0,151.0,Neutral,0.0,0.6928347334589473,11.489239,11.365382
-rZ7h41aRNU,@magorzata8608,Panie Krzysztofie proszę zrobić komentarz o hejcie na małą Kasię Nawrocką bo to jak uśmiechnięci i tolerancyjni wylali pomyje na to dziecko to jest straszne.,Panie Krzysztofie proszę zrobić komentarz o hejcie na małą Kasię Nawrocką bo to jak uśmiechnięci i tolerancyjni wylali pomyje na to dziecko to jest straszne.,2025-06-03 08:52:41+00:00,3505.0,94.0,Negative,-1.0,0.05782075474595716,13.495821,10.052002
-rZ7h41aRNU,@AlicjaAla-g2f,Pokazali inteligencję ubliżając 7letniej córce Nawrockiego. Dno dna,Pokazali inteligencję ubliżając 7letniej córce Nawrockiego. Dno dna,2025-06-03 10:27:13+00:00,3371.0,71.0,Negative,-1.0,0.06330598994916496,13.071667,10.36737
-rZ7h41aRNU,@egonjensen6506,Warszawiacy muszą być szczęśliwi bo mają Rafała tylko dla siebie. Nie muszą się nim dzielić z całą mniej fajną Polską.,Warszawiacy muszą być szczęśliwi bo mają Rafała tylko dla siebie. Nie muszą się nim dzielić z całą mniej fajną Polską.,2025-06-03 09:00:48+00:00,3116.0,94.0,Negative,0.0,0.51529737306921,15.563186,12.518559
-rZ7h41aRNU,@kinganowak3497,"Ja boję się oprócz migrantów , wprowadzenia cenzury i C40, i zniszczenie polskiego rolnictwa.  Jestem konsumentem, nie rolnikiem.","Ja boję się oprócz migrantów , wprowadzenia cenzury i C40, i zniszczenie polskiego rolnictwa. Jestem konsumentem, nie rolnikiem.",2025-06-03 08:41:41+00:00,2552.0,86.0,Negative,0.0,0.47125064635122293,15.259574,13.059934
-rZ7h41aRNU,@shpwolica,Jak oni płaczą.... nawet nie szczędzą małego dziecka Nawrockiego... szczyt beszczelności.... Nie potrafią przegrywać z klasą....,Jak oni płaczą.... nawet nie szczędzą małego dziecka Nawrockiego... szczyt beszczelności.... Nie potrafią przegrywać z klasą....,2025-06-03 08:39:21+00:00,2096.0,43.0,Negative,0.0,1.0,12.829885,9.673215
-rZ7h41aRNU,@maciejbodus2721,"Kiedy wymieniałeś polityków PO: Jachira, Giertych, Szczerba, Gajewska, Myrcha, Budka, itd. zorientowałem się, że wobec nich wszystkich nie czuję nienawiści tylko zwyczajną odrazę.","Kiedy wymieniałeś polityków PO: Jachira, Giertych, Szczerba, Gajewska, Myrcha, Budka, itd. zorientowałem się, że wobec nich wszystkich nie czuję nienawiści tylko zwyczajną odrazę.",2025-06-03 08:49:59+00:00,1902.0,67.0,Negative,0.0,0.6181496431396057,11.9673815,11.161985
